a,p,tmax,delta
0.75,0.4,50,0.8
0.75,0.4,100,0.2
0.75,0.4,200,0.4
0.75,0.4,400,0
0.75,0.6,50,1
0.75,0.6,100,0.6
0.75,0.6,200,0
0.75,0.6,400,0
0.75,0.8,50,0.4
0.75,0.8,100,0.8
0.75,0.8,200,0
0.75,0.8,400,0
0.75,1,50,1.2
0.75,1,100,0.4
0.75,1,200,0
0.75,1,400,0
0.9,0,50,1.2
0.9,0,100,0.4
0.9,0,200,0
0.9,0,400,0
0.9,0.2,50,1
0.9,0.2,100,0.4
0.9,0.2,200,0
0.9,0.2,400,0
0.9,0.4,50,0.8
0.9,0.4,100,0.2
0.9,0.4,200,0
0.9,0.4,400,0
0.9,0.6,50,0.8
0.9,0.6,100,0.4
0.9,0.6,200,0
0.9,0.6,400,0
0.9,0.8,50,0.6
0.9,0.8,100,0.2
0.9,0.8,200,0
0.9,0.8,400,0
0.9,1,50,0.4
0.9,1,100,0.6
0.9,1,200,0
0.9,1,400,0
