a,p,tmax,delta
0.1,0,50,1.6
0.1,0,100,0.4
0.1,0,200,0.4
0.1,0,400,0.4
0.1,0.2,50,1
0.1,0.2,100,0.4
0.1,0.2,200,0.6
0.1,0.2,400,0.6
0.1,0.4,50,1.6
0.1,0.4,100,0.6
0.1,0.4,200,0.8
0.1,0.4,400,0.2
0.1,0.6,50,1.4
0.1,0.6,100,1.2
0.1,0.6,200,0.8
0.1,0.6,400,0.4
0.1,0.8,50,1.2
0.1,0.8,100,1.6
0.1,0.8,200,0.6
0.1,0.8,400,0.4
0.1,1,50,1.6
0.1,1,100,0.8
0.1,1,200,0.6
0.1,1,400,0.4
0.25,0,50,1
0.25,0,100,0.8
0.25,0,200,0.4
0.25,0,400,0
0.25,0.2,50,1
0.25,0.2,100,0.8
0.25,0.2,200,0.8
0.25,0.2,400,0
0.25,0.4,50,1.8
0.25,0.4,100,0.8
0.25,0.4,200,0.8
0.25,0.4,400,0.2
0.25,0.6,50,1.6
0.25,0.6,100,1
0.25,0.6,200,0.2
